"phecode","range_start","range_end"
679,678.00,679.99
681,680.00,686.99
686,680.00,686.99
690,690.00,697.99
694,690.00,697.99
695,690.00,697.99
698,698.00,699.99
700,700.00,701.99
701,700.00,701.99
702,700.00,702.99
703,703.00,704.99
704,703.00,704.99
705,705.00,706.99
706,705.00,706.99
707,707.00,707.99
710,710.00,716.99
711,710.00,716.99
712,710.00,716.99
713,710.00,716.99
716,710.00,716.99
717,717.00,717.99
720,720.00,724.99
721,720.00,724.99
722,720.00,724.99
723,720.00,724.99
724,720.00,724.99
726,725.00,729.99
727,725.00,729.99
728,725.00,729.99
729,725.00,729.99
721.1,720.00,724.99
731,730.00,739.99
732,730.00,739.99
733,730.00,739.99
735,735.00,739.99
736,735.00,739.99
737,735.00,739.99
738,735.00,739.99
739,735.00,739.99
740,740.00,740.99
741,741.00,742.99
742,741.00,742.99
743,743.00,744.99
745,745.00,745.99
741.5,741.00,742.99
747,747.00,747.99
748,748.00,749.99
749,748.00,749.99
750,750.00,751.99
751,750.00,751.99
752,752.00,754.99
753,752.00,754.99
754,754.00,756.99
755,754.00,756.99
756,754.00,756.99
757,756.00,759.99
758,756.00,759.99
759,756.00,759.99
760,760.00,760.99
761,761.00,761.99
763,763.00,767.99
764,763.00,767.99
765,763.00,767.99
766,763.00,767.99
767,763.00,767.99
769,769.00,769.99
770,770.00,770.99
771,771.00,771.99
772,772.00,772.99
773,773.00,773.99
264.2,260.00,264.99
780,780.00,780.99
781,781.00,781.99
782,782.00,782.99
783,783.00,783.99
785,785.00,785.99
788,788.00,788.99
789,789.00,789.99
790,790.00,790.99
790.1,790.00,790.99
791,791.00,791.99
794,794.00,794.99
795,795.00,795.99
797,797.00,797.99
798,798.00,798.99
798.1,798.00,798.99
799,799.00,799.99
800,800.00,809.99
805,800.00,809.99
807,800.00,809.99
802,800.00,809.99
803.3,800.00,809.99
823,800.00,829.99
830,830.00,839.99
840,840.00,848.99
817,816.00,819.99
816,816.00,819.99
818,816.00,819.99
854,850.00,859.99
851,850.00,859.99
870,870.00,879.99
905,905.00,909.99
906,905.00,909.99
907,905.00,909.99
908,905.00,909.99
909,905.00,909.99
910,910.00,910.99
930,930.00,949.99
931,930.00,949.99
938,930.00,949.99
939,930.00,949.99
952,950.00,957.99
957,950.00,957.99
958,958.00,959.99
960,960.00,979.99
961,960.00,979.99
962,960.00,979.99
963,960.00,979.99
964,960.00,979.99
965,960.00,979.99
966,960.00,979.99
967,960.00,979.99
969,960.00,979.99
971,960.00,979.99
972,960.00,979.99
973,960.00,979.99
974,960.00,979.99
975,960.00,979.99
976,960.00,979.99
977,960.00,979.99
981,981.00,989.99
983,981.00,989.99
984,981.00,989.99
985,981.00,989.99
986,981.00,989.99
987,981.00,989.99
988,981.00,989.99
989,981.00,989.99
990,990.00,995.99
994,994.00,994.99
996,996.00,999.99
946,930.00,949.99
297,295.00,306.99
250.3,249.00,250.99
315.1,312.00,315.99
315.2,312.00,315.99
327.4,327.00,328.99
300.3,295.00,306.99
302.1,295.00,306.99
276.1,276.00,276.99
782.3,782.00,782.99
704.1,703.00,704.99
704.2,703.00,704.99
695.3,690.00,697.99
795.8,795.00,795.99
252.1,251.00,259.99
272.1,272.00,272.99
599.1,599.00,599.99
599.2,599.00,599.99
358.1,356.00,359.99
244.1,240.00,246.99
242.1,240.00,246.99
710.2,710.00,716.99
456,450.00,457.99
782.6,782.00,782.99
790.8,790.00,790.99
790.9,790.00,790.99
793.2,793.00,793.99
803,800.00,809.99
873,870.00,879.99
871,870.00,879.99
870.2,870.00,879.99
911,911.00,911.99
912,912.00,913.99
913,912.00,913.99
367.1,367.00,367.99
367.2,367.00,367.99
367.4,367.00,367.99
285.1,280.00,285.99
285.2,280.00,285.99
733.6,730.00,739.99
379.2,375.00,379.99
379.9,375.00,379.99
380.4,380.00,380.99
710.1,710.00,716.99
170.1,170.00,171.99
172.1,172.00,173.99
189.1,188.00,189.99
195.1,195.00,199.99
204.1,200.00,204.99
289.3,288.00,289.99
165.1,160.00,165.99
531.1,531.00,531.99
592.1,590.00,593.99
426.2,426.00,427.99
426.21,426.00,427.99
426.22,426.00,427.99
426.32,426.00,427.99
426.31,426.00,427.99
426.3,426.00,427.99
426.23,426.00,427.99
360.2,360.00,365.99
429.3,428.00,429.99
427.8,426.00,427.99
427.4,426.00,427.99
427.6,426.00,427.99
427.11,426.00,427.99
427.12,426.00,427.99
296.22,295.00,306.99
724.1,720.00,724.99
555.1,555.00,564.99
244.2,240.00,246.99
380.1,380.00,380.99
290.1,290.00,292.99
327.5,327.00,328.99
701.4,700.00,701.99
256.4,251.00,259.99
401.2,401.00,405.99
401.21,401.00,405.99
401.1,401.00,405.99
272.9,272.00,272.99
366.1,366.00,366.99
790.6,790.00,790.99
702.1,702.00,702.99
702.2,702.00,702.99
389.1,387.00,389.99
389.2,387.00,389.99
278.11,278.00,278.99
870.1,870.00,879.99
250.22,249.00,250.99
733.8,730.00,739.99
701.1,700.00,701.99
728.7,725.00,729.99
365.1,360.00,365.99
365.2,360.00,365.99
368.1,368.00,368.99
368.2,368.00,368.99
368.5,368.00,368.99
620.1,620.00,623.99
189.2,188.00,189.99
429.2,428.00,429.99
204.2,200.00,204.99
275.51,275.00,275.99
293.1,293.00,293.99
281.9,280.00,285.99
283.2,280.00,285.99
555.2,555.00,564.99
564.9,555.00,564.99
571.5,570.00,573.99
571.51,570.00,573.99
571.6,570.00,573.99
704.11,703.00,704.99
705.3,705.00,706.99
