"var"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"X2.5.."	"X97.5.."
"(Intercept)"	2.323558902085	0.346705911174853	6.70181507494741	2.05846439621897e-11	1.64402780295515	3.00309000121486
"ancestryAFR"	1.07143485972708	0.413556457387863	2.59078256568536	0.00957579726641726	0.260879097672892	1.88199062178126
"ancestryEAS"	0.138494733007017	0.126513262194169	1.09470525544159	0.273645785457361	-0.109466704460228	0.386456170474261
"cases"	0.000147185502449909	6.42168489571399e-06	22.9200754693125	2.93070175065043e-116	0.000134599231334245	0.000159771773565573
"cat_LOG10_P"	0.0635712322810016	0.00302619321361968	21.0069971721875	5.66028201389817e-98	0.0576400025720475	0.0695024619899557
"controls"	1.70129509846339e-06	1.75834836405661e-07	9.67552922526915	3.83104336847697e-22	1.3566651518808e-06	2.04592504504598e-06
"log(cat_OR)"	2.21434440903921	0.193442457270563	11.447044461093	2.43300047728554e-30	1.83520415970798	2.59348465837045
"pub_count"	0.284743662385015	0.04858576997944	5.86063908229735	4.61089159461126e-09	0.189517303064166	0.379970021705865
"pub_date"	-0.00029349502408078	1.95605174045902e-05	-15.0044611811703	6.86461273892874e-51	-0.000331832933712745	-0.000255157114448814
"RAF"	0.0551678754235229	0.0888065114841453	0.621214306265955	0.534458627711175	-0.118889688678045	0.22922543952509
